from,to,Red,type,Specie,weight
19,67,Gestao,Other social medias groups,Both,5
19,67,Gestao,Formal Training ,Both,8
19,67,Gestao,Previous Professional Training (conducted before taking office),Both,8
19,67,Gestao,Environmental Education Programs,Both,5
19,67,Gestao,Research Program,Both,6
19,67,Gestao,Participation in Conflict Resolution,Both,5
20,67,Gestao,Vehicle (land or water),Both,6
20,67,Gestao,Team,Both,6
20,67,Gestao,Volunteer or temporary programs,Both,5
20,67,Gestao,Equipments,Both,5
20,67,Gestao,Other social medias groups,Both,8
20,67,Gestao,Formal Training ,Both,8
20,67,Gestao,Previous Professional Training (conducted before taking office),Both,8
20,67,Gestao,Environmental Education Programs,Both,5
20,67,Gestao,Research Program,Both,7
20,67,Gestao,Participation in Conflict Resolution,Both,5
21,66,Gestao,Vehicle (land or water),Both,6
21,22,Gestao,Vehicle (land or water),Both,7
21,66,Gestao,Team,Both,6
21,22,Gestao,Team,Both,7
21,18,Gestao,Previous Professional Training (conducted before taking office),Both,8
21,66,Gestao,Research Program,Both,7
21,66,Gestao,Participation in Management Councils,Both,7
21,66,Gestao,Fisheries Legislation (if there is legislation regulating fishing jointly with other MPAs),Both,9
21,66,Gestao,Participation in Conflict Resolution,Both,7
21,18,Gestao,Database Sharing (any type of data),Both,9
21,14,Gestao,Formal Training ,Both,8
21,15,Gestao,Formal Training ,Both,8
21,16,Gestao,Formal Training ,Both,8
21,17,Gestao,Formal Training ,Both,8
21,18,Gestao,Formal Training ,Both,8
21,27,Gestao,Formal Training ,Both,8
21,64,Gestao,Formal Training ,Both,8
21,66,Gestao,Formal Training ,Both,8
21,22,Gestao,Formal Training ,Both,8
22,23,Gestao,Vehicle (land or water),Both,6
22,23,Gestao,Team,Both,8
22,23,Gestao,Other social medias groups,Both,8
22,23,Gestao,Formal Training ,Both,8
22,23,Gestao,WhatsApp Group,Both,9
22,63,Gestao,Other social medias groups,Both,8
22,63,Gestao,Formal Training ,Both,8
22,63,Gestao,WhatsApp Group,Both,9
22,23,Gestao,Joint Species Protection Program,Both,7
22,63,Gestao,Joint Species Protection Program,Both,7
22,23,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,9
22,63,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,9
22,23,Gestao,Participation in Management Councils,Both,7
22,63,Gestao,Participation in Management Councils,Both,7
22,23,Gestao,Participation in Forums or Working Groups,Both,9
22,63,Gestao,Participation in Forums or Working Groups,Both,6
22,23,Gestao,Database Sharing (any type of data),Both,9
22,63,Gestao,Database Sharing (any type of data),Both,5
22,23,Gestao,Participation in Conflict Resolution,Both,8
23,22,Gestao,Team,Both,8
23,22,Gestao,Volunteer or temporary programs,Both,8
23,22,Gestao,Other social medias groups,Both,9
23,63,Gestao,Other social medias groups,Both,9
23,22,Gestao,WhatsApp Group,Both,6
23,63,Gestao,WhatsApp Group,Both,6
23,64,Gestao,WhatsApp Group,Both,6
23,65,Gestao,WhatsApp Group,Both,6
23,22,Gestao,Research Program,Both,8
